JIRA_ISSUE_ID,JIRA_ISSUE_KEY
95798,MOPS-1290
12798,ANARC-75
57875,CCPFB-32
20161,DAARCH-68
110113,CD-57
55294,RVOPS-138
100645,CCSIR-40
48228,EM-13
78785,SK-60
79063,HRITHELP-654
35488,BUW-192
27881,BUDES-296
126162,DATA-3001
46790,BUW-278
99526,BUAPP-48937
100446,BUAPP-49427
25040,BUDES-237
90357,BUAPP-44082
23825,WAF-17
45390,EMPRES-51
78108,CEL2-165
74868,IP-41
83761,CCPFB-96
41226,BUW-215
28522,ANLYT-91
29021,BUDES-318
131943,DATAOPS-1706
121098,HRIX-49
121115,HRIX-66
121092,HRIX-43
130170,HRIX-110
27050,WAF-57
51392,BUW-317
94589,BUAPP-46040
97775,MOPS-1386
19463,DM-152
53992,RVOPS-116
45341,COPSAG2021-72
45145,BUW-254
21117,
21499,
21123,
26631,BUDES-256
98879,RDATA-3
64101,HRITHELP-440
74266,HRITHELP-580
74906,HRITHELP-591
47973,EM-1
91635,DEMAND-11
73257,HRITHELP-564
36001,BUW-155
44526,COPSAG2021-20
44535,COPSAG2021-21
51852,CPQ-1
16391,ANARC-67
91144,CEL2-265
77260,SK-28
111075,BUAND-3949
30094,WAF-117
52223,RVOPS-93
60151,BPB-29
82530,HRITHELP-725
66524,HRITHELP-467
28523,ANLYT-92
27382,NOP-44
37148,POPS-7
54425,CCPFB-6
55858,DM-660
54878,DM-655
68457,BUAPP-32013
53089,RVOPS-100
76808,IP-158
79511,IP-221
62765,IMP-2248
61602,HRITHELP-386
123912,BUAPP-60189
55945,CCPFB-18
38494,NOP-101
105667,BUAPP-52116
37503,BUW-202
121075,HRIX-26
51240,BUW-308
78285,BUW-495
58809,BUW-384
126766,PIA-197
81464,ABU-43
78197,IP-196
19451,DM-140
70487,HRITHELP-510
54370,HRITHELP-251
25939,COPS-185
23770,WAF-13
62439,HRITHELP-408
88758,BUW-532
26547,BUDES-251
58892,BUW-385
102104,MOPS-1476
56562,HRITHELP-297
37804,POPS-23
28964,BUDES-313
10796,BUDES-14
114900,FEDGRC-103
114832,FEDGRC-35
114958,FEDGRC-161
114845,FEDGRC-48
114891,FEDGRC-94
114963,FEDGRC-166
114953,FEDGRC-156
143290,CSO-124
51854,CPQ-3
98294,BUAPP-48174
71003,HRITHELP-517
62406,HRITHELP-406
62266,HRITHELP-405
40622,CARE-2
88425,BUAPP-43250
69389,BUAPP-32585
54276,CCPFB-4
56060,CCPFB-19
119062,BUAPP-58151
78162,HRITHELP-644
19628,DM-177
72186,BUAPP-34211
88926,IP-256
132099,DSO-1733
67405,CCPFB-73
114747,PIA-141
114748,PIA-142
19904,DM-200
41566,BUW-234
49961,RVOPS-7
66481,EHC-37
141637,PSV-585
141247,PSV-257
141269,PSV-279
141494,PSV-504
83106,HRITHELP-739
75527,BUAPP-36062
104751,BUAPP-51726
22479,DM-583
141597,PSV-545
141645,PSV-593
141342,PSV-352
141291,PSV-301
22292,DM-549
141592,PSV-540
141651,PSV-599
26630,BUDES-255
21647,DM-526
25680,ANLYT-27
134812,DSO-1929
22481,DM-585
20885,DAARCH-53
76868,BUAND-3282
27319,BUDES-263
145549,BUAPP-68775
62792,IMP-1873
62689,IMP-2731
62764,IMP-2249
74476,HRITHELP-583
95323,BUAPP-46373
59925,GAB-23
30078,WAF-106
20531,DM-315
129278,DATA-3170
81200,FED-62
120361,CSO-95
23256,DMCL-38
110879,CNOPS-20
66051,BUAPP-30677
20447,DM-271
110336,CD-61
11450,BUDES-8
96403,MOPS-1316
83793,CCUCL-5
16392,ANARC-68
43334,ENG-11
