ROLE_ID,ROLE,COUNT_OF_ACTIVE_USERS,MARKETING_TEAM_ROLLUP
00E2J000001Vz8TUAS,AE Care MM East,0,Undefined
00E2J000001Vz8OUAS,AE Care MM West,0,Undefined
00E50000001Ft6tEAC,AE Central North,0,Undefined
00E2J000001gUVJUA2,AE Central North 1.1,0,Undefined
00E2J000001ZHpeUAG,AE Central North 2.1,0,Undefined
00E2J000001wYqsUAE,AE Central South,0,Undefined
00E2J000001gUtGUAU,AE Central South 2,0,Undefined
00E2J000001sSv7UAE,AE Continental Europe,0,Undefined
00E2J000001oLVYUA2,AE Northeast,0,Undefined
00E2J000001VsiUUAS,AE Northeast 1,0,Undefined
00E2J000001Z7gXUAS,AE Northeast 2,0,Undefined
00E2J000001VsKwUAK,AE Northeast 3,0,Undefined
00E2J000001wYqxUAE,AE Southeast,0,Undefined
00E2J000001gUqCUAU,AE UK-Nordics,0,Undefined
00E50000001rw7jEAA,AE West 1.1,0,Undefined
00E2J000001gUg7UAE,AE West 1.2,0,Undefined
00E2J000001YxjlUAC,AE West 2.1,0,Undefined
00E2J000001gUgCUAU,AE West 2.2,0,Undefined
00E2J000001ZE67UAG,AM Central 2,0,Undefined
00E2J000001wYrCUAU,AM East,0,Undefined
00E2J000001sV54UAE,AM Europe,0,Undefined
00E2J000001wYr7UAE,AM West,0,Undefined
00E2J000001ZE6HUAW,AM West 1,0,Undefined
00E2J000001gUV9UAM,AM West 2,0,Undefined
00E2J000001ZE6MUAW,AM West 3,0,Undefined
00E2J000001ZChfUAG,AVP AM Central,0,Undefined
00E2J000001gUV4UAM,AVP AM West 2,0,Undefined
00E2J000001ZE6CUAW,AVP AM West 3,0,Undefined
00E2J000001gUVEUA2,AVP Central North 1,0,Undefined
00E2J000001ZHpZUAW,AVP Central North 2,0,Undefined
00E2J000001gUtBUAU,AVP Central South,0,Undefined
00E2J000001ZAHVUA4,AVP Continental Europe,0,Undefined
00E2J000001VsiPUAS,AVP Northeast 1,0,Undefined
00E2J000001Z6xrUAC,AVP Northeast 2,0,Undefined
00E2J000001VsKrUAK,AVP Northeast 2,0,Undefined
00E2J000001ZD5NUAW,AVP Southeast,0,Undefined
00E2J000001JfGRUA0,AVP UK-Nordics,0,Undefined
00E2J000001gUg2UAE,AVP West 1.1,0,Undefined
