fct_name,column_name,id_to_exclude,comment
fct_model_fanout,parent,stg_app__coach_assignments,excluding models created prior to implementing dbt_project_evaluator
fct_model_fanout,parent,fact_member_events,excluding models created prior to implementing dbt_project_evaluator
fct_model_fanout,parent,stg_app__activities,excluding models created prior to implementing dbt_project_evaluator
fct_model_fanout,parent,int_app__assessments,excluding models created prior to implementing dbt_project_evaluator
fct_multiple_sources_joined,child,coach_profiles_diff_global,excluding models created prior to implementing dbt_project_evaluator
fct_multiple_sources_joined,child,app_item_mappings,excluding models created prior to implementing dbt_project_evaluator
fct_multiple_sources_joined,child,dbt_coach_info,excluding models created prior to implementing dbt_project_evaluator
fct_multiple_sources_joined,child,app_coach_profiles,excluding models created prior to implementing dbt_project_evaluator
fct_multiple_sources_joined,child,app_users,excluding models created prior to implementing dbt_project_evaluator
fct_multiple_sources_joined,child,int_app__users,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,app_tracks,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,star_coach_network_daily_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,member_platform_calendar,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,dbt_member_reporting_group_assignment__wp360_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,fact_construct_benchmark_scores,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,star_coach_engagement_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,coach_comp__testing_data,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,fact_session,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,fact_assessment_item_responses,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,member_cost_by_event,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,fact_construct_scores,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,dei_coaches,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,star_whole_person_360_subdimension_score,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,dei_responses_whole_person,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,member_cost_to_contract,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,dbt_member_reporting_group__wp360_metrics,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,star_member_testimonial,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,dim_opportunities_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,dim_group_coaching_funnel,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,star_whole_person_subdimension_benchmark_score,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,dim_accounts_snapshot,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,fact_reference_population_construct_scores,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,star_whole_person_subdimension_score,excluding models created prior to implementing dbt_project_evaluator
fct_rejoining_of_upstream_concepts,child,fact_member_events,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_funnels__group_coaching,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_funnels__foundations,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_funnels__track_based_coaching,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_modality_events__care_guide,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_funnels__care,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dim_date,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_modality_events__care_coaching,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dim_coach_compensation_seasons,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,f_norm_cdf,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_modality_events__content,excluding models created prior to implementing dbt_project_evaluator
fct_root_models,child,dbt_modality_events__group_coaching,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.roles,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.versions,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.tracks,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.testimonials,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.coach_profiles,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.user_attribute_values,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.engagement_events,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,salesforce.users,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,analytics_eu_read_only.anon_eu__coach_pay_rates,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.users,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,salesforce.campaigns,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,salesforce.user_roles,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.users_roles,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,fountain.applicants,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,segment_sendgrid.activity,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.group_coaching_series,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.user_role_changes,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.development_topics,excluding models created prior to implementing dbt_project_evaluator
fct_source_fanout,parent,app.product_subscription_assignments,excluding models created prior to implementing dbt_project_evaluator
fct_staging_dependent_on_marts_or_intermediate,child,stg_app__tracks,excluding models created prior to implementing dbt_project_evaluator
fct_staging_dependent_on_staging,child,dbt_app__reflection_points,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,analytics_analytics.member_motivation_themes,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,salesforce.order_items,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.group_unsubscribe,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.delivered,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.invoice_line_items,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.click,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,jira.project_types,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,ml.motivation_topics,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.deferred,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.dropped,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.customers,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.balance_transactions,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.payout_transactions,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.processed,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.charges,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.spamreport,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.coupons,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.subscription_items,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.group_resubscribe,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.payouts,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,salesforce.contracts,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.invoices,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,salesforce.orders,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,jira.projects,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,salesforce.forecasts,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid.bounce,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.invoice_items,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,salesforce.forecast_field_history,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.plans,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,stripe.products,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,wkfw.assessment_configuration_constructs,excluding models created prior to implementing dbt_project_evaluator
fct_unused_sources,parent,segment_sendgrid._open,excluding models created prior to implementing dbt_project_evaluator
